"UniprotAC","GeneName","DrugID","DrugName","InChI","Indication","Source"
"O60488","ACSL4","DB00159","Icosapent","InChI=1S/C20H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h3-4,6-7,9-10,12-13,15-16H,2,5,8,11,14,17-19H2,1H3,(H,21,22)/b4-3-,7-6-,10-9-,13-12-,16-15-","EPA can be used for lowering elevated triglycerides in those who are hyperglyceridemic. In addition, EPA may play a therapeutic role in patients with cystic fibrosis by reducing disease severity and may play a similar role in type 2 diabetics in slowing the progression of diabetic nephropathy.","DrugBank"
"O60488","ACSL4","DB00197","Troglitazone","InChI=1S/C24H27NO5S/c1-13-14(2)21-18(15(3)20(13)26)9-10-24(4,30-21)12-29-17-7-5-16(6-8-17)11-19-22(27)25-23(28)31-19/h5-8,19,26H,9-12H2,1-4H3,(H,25,27,28)","For the treatment of Type II diabetes mellitus. It is used alone or in combination with a sulfonylurea, metformin, or insulin as an adjunct to diet and exercise.","DrugBank"
"O60488","ACSL4","DB00412","Rosiglitazone","InChI=1S/C18H19N3O3S/c1-21(16-4-2-3-9-19-16)10-11-24-14-7-5-13(6-8-14)12-15-17(22)20-18(23)25-15/h2-9,15H,10-12H2,1H3,(H,20,22,23)","Rosiglitazone is indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. ","DrugBank"
"Q9NUB1","ACSS1","DB00171","ATP","InChI=1S/C10H16N5O13P3/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(26-10)1-25-30(21,22)28-31(23,24)27-29(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H,23,24)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1","For nutritional supplementation, also for treating dietary shortage or imbalance","DrugBank"
"Q9NR19","ACSS2","DB00131","Adenosine phosphate","InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(22-10)1-21-23(18,19)20/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1","For nutritional supplementation, also for treating dietary shortage or imbalance","DrugBank"
"Q9NR19","ACSS2","DB00171","ATP","InChI=1S/C10H16N5O13P3/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(26-10)1-25-30(21,22)28-31(23,24)27-29(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H,23,24)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1","For nutritional supplementation, also for treating dietary shortage or imbalance","DrugBank"
"Q03154","ACY1","DB06151","Acetylcysteine","InChI=1S/C5H9NO3S/c1-3(7)6-4(2-10)5(8)9/h4,10H,2H2,1H3,(H,6,7)(H,8,9)/t4-/m0/s1","Acetylcysteine is indicated for mucolytic therapy and in the management of [acetaminophen] overdose.[L31378,L31383,L31388,L31478]","DrugBank"
"Q03154","ACY1","DB09130","Copper","InChI=1S/Cu","For use in the supplementation of total parenteral nutrition and in contraception with intrauterine devices [FDA Label] [L801].","DrugBank"
"Q03154","ACY1","DB00128","Aspartic acid","InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/t2-/m0/s1","There is no support for the claim that aspartates are exercise performance enhancers, i.e. ergogenic aids.","DrugBank"
"P07327","ADH1A","DB02721","4-Iodopyrazole","InChI=1S/C3H3IN2/c4-3-1-5-6-2-3/h1-2H,(H,5,6)",NA,"DrugBank"
"P07327","ADH1A","DB00157","NADH","InChI=1S/C21H29N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1,3-4,7-8,10-11,13-16,20-21,29-32H,2,5-6H2,(H2,23,33)(H,34,35)(H,36,37)(H2,22,24,25)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1","Some evidence suggests that NADH might be useful in treating Parkinson's disease, chronic fatigue syndrome, Alzheimer's disease and cardiovascular disease.","DrugBank"
"P07327","ADH1A","DB01213","Fomepizole","InChI=1S/C4H6N2/c1-4-2-5-6-3-4/h2-3H,1H3,(H,5,6)","Antizol is indicated as an antidote for ethylene glycol (such as antifreeze) or methanol poisoning, or for use in suspected ethylene glycol or methanol ingestion, either alone or in combination with hemodialysis","DrugBank"
"P07327","ADH1A","DB04065","N-Cyclopentyl-N-Cyclobutylformamide","InChI=1S/C10H17NO/c12-8-11(10-6-3-7-10)9-4-1-2-5-9/h8-10H,1-7H2",NA,"DrugBank"
"P00325","ADH1B","DB01213","Fomepizole","InChI=1S/C4H6N2/c1-4-2-5-6-3-4/h2-3H,1H3,(H,5,6)","Antizol is indicated as an antidote for ethylene glycol (such as antifreeze) or methanol poisoning, or for use in suspected ethylene glycol or methanol ingestion, either alone or in combination with hemodialysis","DrugBank"
"P00325","ADH1B","DB04105","N-Heptylformamide","InChI=1S/C8H17NO/c1-2-3-4-5-6-7-9-8-10/h8H,2-7H2,1H3,(H,9,10)",NA,"DrugBank"
"P00325","ADH1B","DB00157","NADH","InChI=1S/C21H29N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1,3-4,7-8,10-11,13-16,20-21,29-32H,2,5-6H2,(H2,23,33)(H,34,35)(H,36,37)(H2,22,24,25)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1","Some evidence suggests that NADH might be useful in treating Parkinson's disease, chronic fatigue syndrome, Alzheimer's disease and cardiovascular disease.","DrugBank"
"P00325","ADH1B","DB02481","N-Benzylformamide","InChI=1S/C8H9NO/c10-7-9-6-8-4-2-1-3-5-8/h1-5,7H,6H2,(H,9,10)",NA,"DrugBank"
"P00325","ADH1B","DB09462","Glycerin","InChI=1S/C3H8O3/c4-1-3(6)2-5/h3-6H,1-2H2","It is used as a solvent, emollient, pharmaceutical agent, and sweetening agent.","DrugBank"
"P00325","ADH1B","DB03703","Cyclohexanol","InChI=1S/C6H12O/c7-6-4-2-1-3-5-6/h6-7H,1-5H2",NA,"DrugBank"
"P00325","ADH1B","DB03461","Nicotinamide adenine dinucleotide phosphate","InChI=1S/C21H28N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1-4,7-8,10-11,13-16,20-21,29-31H,5-6H2,(H7-,22,23,24,25,32,33,34,35,36,37,38,39)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",NA,"DrugBank"
"P00325","ADH1B","DB02721","4-Iodopyrazole","InChI=1S/C3H3IN2/c4-3-1-5-6-2-3/h1-2H,(H,5,6)",NA,"DrugBank"
"P00326","ADH1C","DB03020","5-beta-D-ribofuranosylnicotinamide adenine dinucleotide","InChI=1S/C21H27N7O14P2/c22-18-12-20(26-6-25-18)28(7-27-12)21-16(32)14(30)11(41-21)5-39-44(36,37)42-43(34,35)38-4-10-13(29)15(31)17(40-10)8-1-9(19(23)33)3-24-2-8/h1-3,6-7,10-11,13-17,21,29-32H,4-5H2,(H2,23,33)(H,34,35)(H,36,37)(H2,22,25,26)/t10-,11-,13-,14-,15-,16-,17+,21-/m1/s1",NA,"DrugBank"
"P00326","ADH1C","DB02822","Para-Bromobenzyl Alcohol","InChI=1S/C7H7BrO/c8-7-3-1-6(5-9)2-4-7/h1-4,9H,5H2",NA,"DrugBank"
"P00326","ADH1C","DB03226","Trifluoroethanol","InChI=1S/C2H3F3O/c3-2(4,5)1-6/h6H,1H2",NA,"DrugBank"
"P00326","ADH1C","DB02871","3-Butylthiolane 1-Oxide","InChI=1S/C8H16OS/c1-2-3-4-8-5-6-10(9)7-8/h8H,2-7H2,1H3/t8-,10-/m0/s1",NA,"DrugBank"
"P00326","ADH1C","DB01213","Fomepizole","InChI=1S/C4H6N2/c1-4-2-5-6-3-4/h2-3H,1H3,(H,5,6)","Antizol is indicated as an antidote for ethylene glycol (such as antifreeze) or methanol poisoning, or for use in suspected ethylene glycol or methanol ingestion, either alone or in combination with hemodialysis","DrugBank"
"P00326","ADH1C","DB02659","Cholic Acid","InChI=1S/C24H40O5/c1-13(4-7-21(28)29)16-5-6-17-22-18(12-20(27)24(16,17)3)23(2)9-8-15(25)10-14(23)11-19(22)26/h13-20,22,25-27H,4-12H2,1-3H3,(H,28,29)/t13-,14+,15-,16-,17+,18+,19-,20+,22+,23+,24-/m1/s1","Oral cholic acid is indicated for: treatment of bile acid synthesis disorders due to single enzyme defects; and as adjunctive treatment of peroxisomal disorders including Zellweger spectrum disorders in patients who exhibit manifestations of liver disease, steatorrhea or complications from decreased fat soluble vitamin absorption. ","DrugBank"
"P00326","ADH1C","DB04071","Cpad","InChI=1S/C21H27N7O14P2/c22-18-12-20(25-6-24-18)28(7-26-12)21-16(32)14(30)11(41-21)5-39-44(36,37)42-43(34,35)38-4-10-13(29)15(31)17(40-10)8-2-1-3-9(27-8)19(23)33/h1-3,6-7,10-11,13-17,21,29-32H,4-5H2,(H2,23,33)(H,34,35)(H,36,37)(H2,22,24,25)/t10-,11-,13-,14-,15-,16-,17+,21-/m1/s1",NA,"DrugBank"
"P00326","ADH1C","DB03061","(R)-N-(1-Methyl-Hexyl)-Formamide","InChI=1S/C8H17NO/c1-3-4-5-6-8(2)9-7-10/h7-8H,3-6H2,1-2H3,(H,9,10)/t8-/m0/s1",NA,"DrugBank"
"P00326","ADH1C","DB04312","2,3-Difluorobenzyl Alcohol","InChI=1S/C7H6F2O/c8-6-3-1-2-5(4-10)7(6)9/h1-3,10H,4H2",NA,"DrugBank"
"P00326","ADH1C","DB02721","4-Iodopyrazole","InChI=1S/C3H3IN2/c4-3-1-5-6-2-3/h1-2H,(H,5,6)",NA,"DrugBank"
"P00326","ADH1C","DB01711","2,3,4,5,6-Pentafluorobenzyl Alcohol","InChI=1S/C7H3F5O/c8-3-2(1-13)4(9)6(11)7(12)5(3)10/h13H,1H2",NA,"DrugBank"
"P00326","ADH1C","DB03559","Cyclohexylformamide","InChI=1S/C7H13NO/c9-6-8-7-4-2-1-3-5-7/h6-7H,1-5H2,(H,8,9)",NA,"DrugBank"
"P00326","ADH1C","DB04448","2,4-Difluorobenzyl Alcohol 2,4-Difluoro-1-(Hydroxymethyl)Benzene","InChI=1S/C7H6F2O/c8-6-2-1-5(4-10)7(9)3-6/h1-3,10H,4H2",NA,"DrugBank"
"P00326","ADH1C","DB04113","N-Formylpiperidine","InChI=1S/C6H11NO/c8-6-7-4-2-1-3-5-7/h6H,1-5H2",NA,"DrugBank"
"P00326","ADH1C","DB00157","NADH","InChI=1S/C21H29N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1,3-4,7-8,10-11,13-16,20-21,29-32H,2,5-6H2,(H2,23,33)(H,34,35)(H,36,37)(H2,22,24,25)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1","Some evidence suggests that NADH might be useful in treating Parkinson's disease, chronic fatigue syndrome, Alzheimer's disease and cardiovascular disease.","DrugBank"
"P00326","ADH1C","DB02131","N-1-methylheptylformamide","InChI=1S/C9H19NO/c1-3-4-5-6-7-9(2)10-8-11/h8-9H,3-7H2,1-2H3,(H,10,11)/t9-/m1/s1",NA,"DrugBank"
"P00326","ADH1C","DB02757","Pyrazole","InChI=1S/C3H4N2/c1-2-4-5-3-1/h1-3H,(H,4,5)",NA,"DrugBank"
"P00326","ADH1C","DB02249","2-Ethoxyethanol","InChI=1S/C4H10O2/c1-2-6-4-3-5/h5H,2-4H2,1H3",NA,"DrugBank"
"P08319","ADH4","DB00157","NADH","InChI=1S/C21H29N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1,3-4,7-8,10-11,13-16,20-21,29-32H,2,5-6H2,(H2,23,33)(H,34,35)(H,36,37)(H2,22,24,25)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1","Some evidence suggests that NADH might be useful in treating Parkinson's disease, chronic fatigue syndrome, Alzheimer's disease and cardiovascular disease.","DrugBank"
"P08319","ADH4","DB03559","Cyclohexylformamide","InChI=1S/C7H13NO/c9-6-8-7-4-2-1-3-5-7/h6-7H,1-5H2,(H,8,9)",NA,"DrugBank"
"P55263","ADK","DB07173","7-(5-DEOXY-BETA-D-RIBOFURANOSYL)-5-IODO-7H-PYRROLO[2,3-D]PYRIMIDIN-4-AMINE","InChI=1S/C11H13IN4O3/c1-4-7(17)8(18)11(19-4)16-2-5(12)6-9(13)14-3-15-10(6)16/h2-4,7-8,11,17-18H,1H3,(H2,13,14,15)/t4-,7-,8-,11-/m1/s1",NA,"DrugBank"
"P55263","ADK","DB07280","5-[4-(DIMETHYLAMINO)PHENYL]-6-[(6-MORPHOLIN-4-YLPYRIDIN-3-YL)ETHYNYL]PYRIMIDIN-4-AMINE","InChI=1S/C23H24N6O/c1-28(2)19-7-5-18(6-8-19)22-20(26-16-27-23(22)24)9-3-17-4-10-21(25-15-17)29-11-13-30-14-12-29/h4-8,10,15-16H,11-14H2,1-2H3,(H2,24,26,27)",NA,"DrugBank"
"P55263","ADK","DB00131","Adenosine phosphate","InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(22-10)1-21-23(18,19)20/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1","For nutritional supplementation, also for treating dietary shortage or imbalance","DrugBank"
"P30520","ADSS","DB05540","Alanosine","InChI=1S/C3H7N3O4/c4-2(3(7)8)1-6(10)5-9/h2,10H,1,4H2,(H,7,8)/t2-/m0/s1","Investigated for use/treatment in brain cancer and cancer/tumors (unspecified).","DrugBank"
"P30520","ADSS","DB00128","Aspartic acid","InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/t2-/m0/s1","There is no support for the claim that aspartates are exercise performance enhancers, i.e. ergogenic aids.","DrugBank"
"Q8N142","ADSSL1","DB03510","6-O-Phosphoryl Inosine Monophosphate","InChI=1S/C10H14N4O11P2/c15-6-4(1-23-26(17,18)19)24-10(7(6)16)14-3-13-5-8(14)11-2-12-9(5)25-27(20,21)22/h2-4,6-7,10,15-16H,1H2,(H2,17,18,19)(H2,20,21,22)/t4-,6-,7-,10-/m1/s1",NA,"DrugBank"
"Q8N142","ADSSL1","DB02109","Hadacidin","InChI=1S/C3H5NO4/c5-2-4(8)1-3(6)7/h2,8H,1H2,(H,6,7)",NA,"DrugBank"
"Q8N142","ADSSL1","DB04418","Adenylosuccinic acid","InChI=1S/C14H18N5O11P/c20-7(21)1-5(14(24)25)18-11-8-12(16-3-15-11)19(4-17-8)13-10(23)9(22)6(30-13)2-29-31(26,27)28/h3-6,9-10,13,22-23H,1-2H2,(H,20,21)(H,24,25)(H,15,16,18)(H2,26,27,28)/t5-,6+,9+,10+,13+/m0/s1",NA,"DrugBank"
"Q8N142","ADSSL1","DB05540","Alanosine","InChI=1S/C3H7N3O4/c4-2(3(7)8)1-6(10)5-9/h2,10H,1,4H2,(H,7,8)/t2-/m0/s1","Investigated for use/treatment in brain cancer and cancer/tumors (unspecified).","DrugBank"
"Q8N142","ADSSL1","DB04566","Inosinic Acid","InChI=1S/C10H13N4O8P/c15-6-4(1-21-23(18,19)20)22-10(7(6)16)14-3-13-5-8(14)11-2-12-9(5)17/h2-4,6-7,10,15-16H,1H2,(H,11,12,17)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1",NA,"DrugBank"
"Q8N142","ADSSL1","DB04137","Guanosine-5'-Triphosphate","InChI=1S/C10H16N5O14P3/c11-10-13-7-4(8(18)14-10)12-2-15(7)9-6(17)5(16)3(27-9)1-26-31(22,23)29-32(24,25)28-30(19,20)21/h2-3,5-6,9,16-17H,1H2,(H,22,23)(H,24,25)(H2,19,20,21)(H3,11,13,14,18)/t3-,5-,6-,9-/m1/s1",NA,"DrugBank"
"Q8N142","ADSSL1","DB00128","Aspartic acid","InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/t2-/m0/s1","There is no support for the claim that aspartates are exercise performance enhancers, i.e. ergogenic aids.","DrugBank"
"Q8N142","ADSSL1","DB04315","Guanosine-5'-Diphosphate","InChI=1S/C10H15N5O11P2/c11-10-13-7-4(8(18)14-10)12-2-15(7)9-6(17)5(16)3(25-9)1-24-28(22,23)26-27(19,20)21/h2-3,5-6,9,16-17H,1H2,(H,22,23)(H2,19,20,21)(H3,11,13,14,18)/t3-,5-,6-,9-/m1/s1",NA,"DrugBank"
"Q9BYV1","AGXT2","DB00114","Pyridoxal phosphate","InChI=1S/C8H10NO6P/c1-5-8(11)7(3-10)6(2-9-5)4-15-16(12,13)14/h2-3,11H,4H2,1H3,(H2,12,13,14)","For nutritional supplementation and for treating dietary shortage or imbalance.","DrugBank"
"Q9BYV1","AGXT2","DB00119","Pyruvic acid","InChI=1S/C3H4O3/c1-2(4)3(5)6/h1H3,(H,5,6)","For nutritional supplementation, also for treating dietary shortage or imbalance","DrugBank"
"Q9BYV1","AGXT2","DB00160","Alanine","InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1","Used for protein synthesis.","DrugBank"
"Q9BYV1","AGXT2","DB00145","Glycine","InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)","Supplemental glycine may have antispastic activity. Very early findings suggest it may also have antipsychotic activity as well as antioxidant and anti-inflammatory activities.","DrugBank"
"O60218","AKR1B10","DB02383","Tolrestat","InChI=1S/C16H14F3NO3S/c1-20(8-13(21)22)15(24)11-5-3-4-10-9(11)6-7-12(23-2)14(10)16(17,18)19/h3-7H,8H2,1-2H3,(H,21,22)","For the pharmacological control of certain diabetic complications.","DrugBank"
"O60218","AKR1B10","DB02021","Fidarestat","InChI=1S/C12H10FN3O4/c13-5-1-2-7-6(3-5)12(4-8(20-7)9(14)17)10(18)15-11(19)16-12/h1-3,8H,4H2,(H2,14,17)(H2,15,16,18,19)/t8-,12-/m0/s1",NA,"DrugBank"
"O60218","AKR1B10","DB03461","Nicotinamide adenine dinucleotide phosphate","InChI=1S/C21H28N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1-4,7-8,10-11,13-16,20-21,29-31H,5-6H2,(H7-,22,23,24,25,32,33,34,35,36,37,38,39)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",NA,"DrugBank"
"O60218","AKR1B10","DB00605","Sulindac","InChI=1S/C20H17FO3S/c1-12-17(9-13-3-6-15(7-4-13)25(2)24)16-8-5-14(21)10-19(16)18(12)11-20(22)23/h3-10H,11H2,1-2H3,(H,22,23)/b17-9-","For acute or long-term use in the relief of signs and symptoms of osteoarthritis, rheumatoid arthritis, ankylosing spondylitis, acute painful shoulder (acute subacromial bursitis/supraspinatus tendinitis), and acute gouty arthritis.","DrugBank"
"O60218","AKR1B10","DB06246","Exisulind","InChI=1S/C20H17FO4S/c1-12-17(9-13-3-6-15(7-4-13)26(2,24)25)16-8-5-14(21)10-19(16)18(12)11-20(22)23/h3-10H,11H2,1-2H3,(H,22,23)/b17-9-","Investigated for use/treatment in adenomatous polyposis coli, lung cancer, prostate cancer, colon polyps, Barrett's esophagus disease, and pediatric indications.","DrugBank"
"O60218","AKR1B10","DB08772","Zopolrestat","InChI=1S/C19H12F3N3O3S/c20-19(21,22)10-5-6-15-14(7-10)23-16(29-15)9-25-18(28)12-4-2-1-3-11(12)13(24-25)8-17(26)27/h1-7H,8-9H2,(H,26,27)",NA,"DrugBank"
"P17516","AKR1C4","DB00157","NADH","InChI=1S/C21H29N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1,3-4,7-8,10-11,13-16,20-21,29-32H,2,5-6H2,(H2,23,33)(H,34,35)(H,36,37)(H2,22,24,25)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1","Some evidence suggests that NADH might be useful in treating Parkinson's disease, chronic fatigue syndrome, Alzheimer's disease and cardiovascular disease.","DrugBank"
"P51857","AKR1D1","DB00548","Azelaic acid","InChI=1S/C9H16O4/c10-8(11)6-4-2-1-3-5-7-9(12)13/h1-7H2,(H,10,11)(H,12,13)","For the topical treatment of mild-to-moderate inflammatory acne vulgaris.","DrugBank"
"P51857","AKR1D1","DB01216","Finasteride","InChI=1S/C23H36N2O2/c1-21(2,3)25-20(27)17-8-7-15-14-6-9-18-23(5,13-11-19(26)24-18)16(14)10-12-22(15,17)4/h11,13-18H,6-10,12H2,1-5H3,(H,24,26)(H,25,27)/t14-,15-,16-,17+,18+,22-,23+/m0/s1","Finasteride is indicated for the treatment of symptomatic benign prostatic hyperplasia (BPH) in men with an enlarged prostate to improve symptoms, reduce the risk of acute urinary retention, and reduce the risk of the need for surgery including transurethral resection of the prostate (TURP) and prostatectomy.[L10565] A combination product with [tadalafil] is also used for the symptomatic treatment of BPH for up to 26 weeks.[L39439]
Finasteride is also indicated for the treatment of male pattern hair loss (androgenetic alopecia, hereditary alopecia, or common male baldness) in male patients.[L6235]","DrugBank"
"P51857","AKR1D1","DB07557","3,20-Pregnanedione","InChI=1S/C21H32O2/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h14,16-19H,4-12H2,1-3H3/t14-,16+,17-,18+,19+,20+,21-/m1/s1",NA,"DrugBank"
"P51857","AKR1D1","DB07447","5beta-dihydrotestosterone","InChI=1S/C19H30O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h12,14-17,21H,3-11H2,1-2H3/t12-,14+,15+,16+,17+,18+,19+/m1/s1",NA,"DrugBank"
"P13716","ALAD","DB02878","3-(2-Aminoethyl)-4-(Aminomethyl)Heptanedioic Acid","InChI=1S/C10H20N2O4/c11-4-3-7(5-10(15)16)8(6-12)1-2-9(13)14/h7-8H,1-6,11-12H2,(H,13,14)(H,15,16)/t7-,8-/m1/s1",NA,"DrugBank"
"P13716","ALAD","DB02272","Porphobilinogen","InChI=1S/C10H14N2O4/c11-4-8-7(3-10(15)16)6(5-12-8)1-2-9(13)14/h5,12H,1-4,11H2,(H,13,14)(H,15,16)",NA,"DrugBank"
"P13716","ALAD","DB00855","Aminolevulinic acid","InChI=1S/C5H9NO3/c6-3-4(7)1-2-5(8)9/h1-3,6H2,(H,8,9)","Aminolevulinic acid plus blue light illumination using a blue light photodynamic therapy illuminator is indicated for the treatment of minimally to moderately thick actinic keratoses of the face or scalp.","DrugBank"
"P13716","ALAD","DB04560","4,7-Dioxosebacic Acid","InChI=1S/C10H14O6/c11-7(3-5-9(13)14)1-2-8(12)4-6-10(15)16/h1-6H2,(H,13,14)(H,15,16)",NA,"DrugBank"
"P13716","ALAD","DB04781","5-hydroxyvaleric acid","InChI=1S/C5H10O3/c6-4-2-1-3-5(7)8/h6H,1-4H2,(H,7,8)",NA,"DrugBank"
"P13716","ALAD","DB02260","4-Oxosebacic Acid","InChI=1S/C10H16O5/c11-8(6-7-10(14)15)4-2-1-3-5-9(12)13/h1-7H2,(H,12,13)(H,14,15)",NA,"DrugBank"
"P13716","ALAD","DB02068","Delta-Amino Valeric Acid","InChI=1S/C5H11NO2/c6-4-2-1-3-5(7)8/h1-4,6H2,(H,7,8)/p+1",NA,"DrugBank"
"P13716","ALAD","DB02239","Laevulinic Acid","InChI=1S/C5H8O3/c1-4(6)2-3-5(7)8/h2-3H2,1H3,(H,7,8)",NA,"DrugBank"
"P54886","ALDH18A1","DB00142","Glutamic acid","InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1","Considered to be nature's ""Brain food"" by improving mental capacities; helps speed the healing of ulcers; gives a ""lift"" from fatigue; helps control alcoholism, schizophrenia and the craving for sugar.","DrugBank"
"P30837","ALDH1B1","DB00157","NADH","InChI=1S/C21H29N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1,3-4,7-8,10-11,13-16,20-21,29-32H,2,5-6H2,(H2,23,33)(H,34,35)(H,36,37)(H2,22,24,25)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1","Some evidence suggests that NADH might be useful in treating Parkinson's disease, chronic fatigue syndrome, Alzheimer's disease and cardiovascular disease.","DrugBank"
"O75891","ALDH1L1","DB00116","Tetrahydrofolic acid","InChI=1S/C19H23N7O6/c20-19-25-15-14(17(30)26-19)23-11(8-22-15)7-21-10-3-1-9(2-4-10)16(29)24-12(18(31)32)5-6-13(27)28/h1-4,11-12,21,23H,5-8H2,(H,24,29)(H,27,28)(H,31,32)(H4,20,22,25,26,30)/t11?,12-/m0/s1","For nutritional supplementation, also for treating dietary shortage or imbalance.","DrugBank"
"P05091","ALDH2","DB00536","Guanidine","InChI=1S/CH5N3/c2-1(3)4/h(H5,2,3,4)","For the reduction of the symptoms of muscle weakness and easy fatigability associated with the myasthenic syndrome of Eaton-Lambert. It is not indicated for treating myasthenia gravis.","DrugBank"
"P05091","ALDH2","DB02115","Daidzin","InChI=1S/C21H20O9/c22-8-16-18(25)19(26)20(27)21(30-16)29-12-5-6-13-15(7-12)28-9-14(17(13)24)10-1-3-11(23)4-2-10/h1-7,9,16,18-23,25-27H,8H2/t16-,18-,19+,20-,21-/m1/s1",NA,"DrugBank"
"P05091","ALDH2","DB00157","NADH","InChI=1S/C21H29N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1,3-4,7-8,10-11,13-16,20-21,29-32H,2,5-6H2,(H2,23,33)(H,34,35)(H,36,37)(H2,22,24,25)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1","Some evidence suggests that NADH might be useful in treating Parkinson's disease, chronic fatigue syndrome, Alzheimer's disease and cardiovascular disease.","DrugBank"
